poet,rank,neighbor,similarity
أم النحيف,5,أبو الذيال اليهودي,0.882068395614624
أم موسى الكلابية,1,ابن الأطنابة,0.9165571928024292
أم موسى الكلابية,2,الجميح الأسدي,0.916404664516449
أم موسى الكلابية,3,المرقش الأكبر,0.9129279851913452
أم موسى الكلابية,4,الأسود النهشلي,0.911692202091217
أم موسى الكلابية,5,بشامة بن الغدير,0.9114977717399597
أميمة بنت أمية,1,الفند الزماني,0.9533315896987915
أميمة بنت أمية,2,الجميح الأسدي,0.9526264667510986
أميمة بنت أمية,3,المرقش الأكبر,0.9521247148513794
أميمة بنت أمية,4,حاجز الأزدي,0.9513137936592102
أميمة بنت أمية,5,الأعسر الضبي,0.9499187469482422
أميمة بنت عبد المطلب,1,الأسود النهشلي,0.9320800304412842
أميمة بنت عبد المطلب,2,الربيع بن أبي الحقيق,0.9318773746490479
أميمة بنت عبد المطلب,3,ضمرة بن ضمرة,0.9252496957778931
أميمة بنت عبد المطلب,4,سلامة بن جندل,0.9231146574020386
أميمة بنت عبد المطلب,5,محرز الضبي,0.9143815636634827
أميمة بنت عبد شمس,1,أميمة بنت أمية,0.8849201202392578
أميمة بنت عبد شمس,2,الأسود النهشلي,0.8840969800949097
أميمة بنت عبد شمس,3,ضمرة بن ضمرة,0.8819106817245483
أميمة بنت عبد شمس,4,الربيع بن أبي الحقيق,0.8769360780715942
أميمة بنت عبد شمس,5,هناءة بن مالك الأزدي,0.8637956976890564
أوس العبدي,1,سلامة بن جندل,0.9369939565658569
أوس العبدي,2,الفند الزماني,0.9367458820343018
أوس العبدي,3,بشامة بن الغدير,0.9338781833648682
أوس العبدي,4,الأسلوم اليامي,0.9321023225784302
أوس العبدي,5,ابن الأطنابة,0.9318605065345764
أوس الهجيمي,1,الكلحبة العرني,0.9991734027862549
أوس الهجيمي,2,يزيد الأرحبي,0.9991446733474731
أوس الهجيمي,3,سنان المري,0.9990890622138977
أوس الهجيمي,4,النابغة التغلبي,0.9989432096481323
أوس الهجيمي,5,مالك بن حريم الهمداني,0.9988276362419128
أوس بن حارثة,1,هناءة بن مالك الأزدي,0.8786008954048157
