poet_name,poem_count,total_words,total_verses,avg_words_per_poem,avg_verses_per_poem
وجيهة الضبية,1,54,10,54.0,10.0
هند الأيادية,1,30,6,30.0,6.0
هند الضبابية,1,44,8,44.0,8.0
هني الكناني,1,68,14,68.0,14.0
ثعلبة المازني,1,239,52,239.0,52.0
تنها بنت قرط العبدية,1,51,14,51.0,14.0
تماضر بنت الشريد,1,88,20,88.0,20.0
هشام المري,1,12,2,12.0,2.0
هلال بن رزين,1,41,10,41.0,10.0
همام التميمي,1,47,10,47.0,10.0
هند الفزارية,1,87,18,87.0,18.0
ثعلبة بن بكر الأزدي,1,63,14,63.0,14.0
جبر المعاوي,1,264,52,264.0,52.0
جبار بن قرط,1,25,6,25.0,6.0
جابر المرني,1,10,2,10.0,2.0
جابر المري,1,8,2,8.0,2.0
ثعلبة بن عامر,1,28,6,28.0,6.0
ذؤيب بن كعب,1,92,22,92.0,22.0
شمر الحنفي,1,48,10,48.0,10.0
دوسر بن هذيل,1,125,22,125.0,22.0
